,dim,mean.config1,mean.config2,sd.config1,sd.config2
1,10,99.3042652708239,633.610324616731,50.546083876304,238.036089880715
2,12,785.301139072194,3481.55453513128,324.06583559175,1489.84157000973
3,13,1205.21139464104,5937.60986287108,477.911618749966,2886.59002639993
4,15,3256.34115711511,27262.8858475512,1311.68935275735,10952.3675226991
5,25,69040.5834630242,357735.791105757,38914.4626360921,59339.0141213386
6,26,88407.0888028858,399134.875351702,32463.4614219985,44858.3349502482
7,28,114561.728542918,513145.448808706,54090.9024979965,53873.5772898139
8,32,173376.574553992,737638.625846715,75597.5329895519,52637.3592301684
9,36,207466.807263898,938755.472093399,73009.9404394765,35495.9075089507
10,38,264698.288530373,1071565.65815691,85011.7020963312,97459.0257880275
11,41,366325.409311415,1217519.98897001,174640.118913783,134290.545910138
12,44,424407.81741347,1492512.3219967,152926.104612806,80096.146645478
13,46,516400.622344599,1542386.07845352,165471.773108074,81441.4778644959
14,47,529063.801338325,1626458.96113015,155520.735345296,122809.436963577
15,57,686275.123339318,2317672.60367677,333889.237180845,175754.327014348
16,59,1075607.02963166,2444337.06412777,267920.824831569,194178.116664168
17,63,959706.770657764,2749500.51445807,279359.162733126,213688.866566641
18,72,1253904.8358609,3653686.29826078,497678.592681857,209205.094250492
19,77,1740029.27366383,4050670.75011511,378288.890767954,310899.091169044
20,83,1671668.49555234,4985402.49231078,271203.636638072,274893.33695345
21,84,1747007.09589425,4859552.64291936,500771.016609423,432245.536901361
22,85,1759050.37954907,5347702.77087957,356917.70115436,362167.632670259
23,96,1942616.94057663,6413262.74666683,586524.506300332,439805.825861229
24,98,2086263.31291346,6631905.35679241,501012.83007893,489601.633251458
25,106,2378166.85901488,7698028.49200685,557109.47120428,318911.896959317
26,111,2896101.58258372,7408261.63479488,693404.137618346,973362.254037749
27,112,2637843.47604881,8033597.99505867,569010.956866619,515493.622579007
28,114,2271492.86252238,8401369.16161392,933814.377233451,381766.533637575
29,118,2924987.29984034,8346408.80983809,581911.937361558,747176.710183265
30,120,3532416.92962366,9124540.18004336,908883.065575566,450436.797166378
31,131,2785774.00574531,9723271.76706958,708250.788422273,1058418.62544657
32,132,3738037.76541004,9527026.6135608,658422.619221725,921829.439734186
33,135,3728635.5399022,9971596.65216296,1333929.60394547,976670.799639301
34,140,3636590.07933095,10722734.6284745,617950.36855433,551678.076169049
