Problem,Local Search Type,Result
C101,10LS,373.8625026
C101,10LS,365.6370418
C101,10LS,363.6772532
C101,10LS,360.6415448
C101,10LS,367.4846982
C101,10LS,362.4997576
C101,10LS,363.5679697
C101,10LS,362.3532947
C101,10LS,369.3348341
C101,10LS,360.2895763
C101,0LS,374.1955671
C101,0LS,368.336458
C101,0LS,387.2620758
C101,0LS,373.4810893
C101,0LS,372.9880446
C101,0LS,368.9727315
C101,0LS,376.7366548
C101,0LS,377.1466862
C101,0LS,386.1940256
C101,0LS,375.1825518
C101,0LS,370.6387266
C101,0LS,372.7615837
C101,0LS,371.9425786
C101,0LS,374.6267424
C101,0LS,375.1004473
C101,0LS,374.7787887
C101,2LS,360.4403335
C101,2LS,363.5219016
C101,2LS,367.8549903
C101,2LS,362.7790476
C101,2LS,373.6847321
C101,2LS,367.1551848
C101,2LS,363.6772532
C101,2LS,361.6427379
C101,2LS,370.7025063
C101,2LS,362.8804722
C101,20p10LS,370.8933018
C101,20p10LS,374.9387871
C101,20p10LS,373.6015337
C101,20p10LS,384.0963651
C101,20p10LS,375.5291285
C101,20p10LS,371.3084193
C101,20p10LS,373.3580675
C101,20p10LS,368.5066899
C101,20p10LS,378.2741608
C101,20p10LS,373.6189662
C101,20p10LS,381.175142
C101,20p10LS,372.1340022
C101,20p10LS,383.0695193
C101,20p10LS,372.8803778
C101,20p10LS,380.5856091
C101,20p10LS,371.7850965
C101,20p10LS,381.1101844
C101,20p10LS,386.813818
C101,20p10LS,369.8309924
C101,20p10LS,372.0761265
C101,20p10LS,373.645945
C101,20p10LS,375.8268664
C101,20p10LS,394.9451882
C101,20p10LS,378.338109
C101,20p10LS,371.8864447
C101,20p10LS,378.2128132
C101,20p10LS,372.7403308
C101,20p10LS,372.103128
C101,20p10LS,375.7276628
C101,20p10LS,374.0670503
C101,20p10LS,370.2740925
C101,20p10LS,374.0869804
C101,20p10LS,385.4974304
C101,20p10LS,376.6280158
C101,20p10LS,388.4058941
C201,10LS,458.0703423
C201,10LS,452.2484519
C201,10LS,459.5718827
C201,10LS,469.9175919
C201,10LS,469.9874826
C201,10LS,468.6347364
C201,10LS,462.0031844
C201,10LS,464.4025613
C201,10LS,467.3689792
C201,10LS,470.3108843
C201,0LS,471.3524274
C201,0LS,472.3024491
C201,0LS,478.1688746
C201,0LS,473.7697097
C201,0LS,482.735705
C201,0LS,450.4337303
C201,0LS,464.804347
C201,0LS,476.3939607
C201,0LS,484.1496164
C201,0LS,470.2650528
C201,0LS,466.7054723
C201,0LS,484.2594603
C201,0LS,473.6208026
C201,0LS,477.3753129
C201,0LS,456.6081273
C201,0LS,461.3756764
C201,0LS,473.1140496
C201,0LS,458.5319991
C201,0LS,465.8206554
C201,2LS,469.7404223
C201,2LS,470.8331448
C201,2LS,474.4391252
C201,2LS,464.2319246
C201,2LS,465.8155649
C201,2LS,471.9544274
C201,2LS,471.6507177
C201,2LS,464.1741092
C201,2LS,462.0871924
C201,2LS,460.7264984
C201,20p10LS,463.5855335
C201,20p10LS,469.5030975
C201,20p10LS,479.6806842
C201,20p10LS,473.3943679
C201,20p10LS,461.5818248
C201,20p10LS,464.7228999
C201,20p10LS,479.2301288
C201,20p10LS,465.6004487
C201,20p10LS,458.7658896
C201,20p10LS,466.6170101
C201,20p10LS,484.0852837
C201,20p10LS,478.6780523
C201,20p10LS,467.7722285
C201,20p10LS,481.9093218
