Customer,xPos,yPos,Demand,Ready Time,Due Date,Service Time
1.0,40.0,50.0,0.0,0.0,1236.0,0.0
2.0,45.0,68.0,10.0,0.0,1127.0,90.0
3.0,45.0,70.0,30.0,0.0,1125.0,90.0
4.0,42.0,66.0,10.0,0.0,1129.0,90.0
5.0,42.0,68.0,10.0,727.0,782.0,90.0
6.0,42.0,65.0,10.0,0.0,1130.0,90.0
7.0,40.0,69.0,20.0,0.0,1127.0,90.0
8.0,40.0,66.0,20.0,0.0,1130.0,90.0
9.0,38.0,68.0,20.0,255.0,324.0,90.0
10.0,38.0,70.0,10.0,534.0,605.0,90.0
11.0,35.0,66.0,10.0,0.0,1129.0,90.0
12.0,35.0,69.0,10.0,448.0,505.0,90.0
13.0,25.0,85.0,20.0,0.0,1107.0,90.0
14.0,22.0,75.0,30.0,30.0,92.0,90.0
15.0,22.0,85.0,10.0,0.0,1106.0,90.0
16.0,20.0,80.0,40.0,384.0,429.0,90.0
17.0,20.0,85.0,40.0,0.0,1105.0,90.0
18.0,18.0,75.0,20.0,0.0,1112.0,90.0
19.0,15.0,75.0,20.0,0.0,1110.0,90.0
20.0,15.0,80.0,10.0,0.0,1106.0,90.0
21.0,30.0,50.0,10.0,0.0,1136.0,90.0
22.0,30.0,52.0,20.0,0.0,1135.0,90.0
23.0,28.0,52.0,20.0,0.0,1133.0,90.0
24.0,28.0,55.0,10.0,732.0,777.0,90.0
25.0,25.0,50.0,10.0,0.0,1131.0,90.0
26.0,25.0,52.0,40.0,169.0,224.0,90.0
27.0,25.0,55.0,10.0,0.0,1130.0,90.0
28.0,23.0,52.0,10.0,0.0,1128.0,90.0
29.0,23.0,55.0,20.0,0.0,1128.0,90.0
30.0,20.0,50.0,10.0,0.0,1126.0,90.0
31.0,20.0,55.0,10.0,0.0,1125.0,90.0
32.0,10.0,35.0,20.0,0.0,1112.0,90.0
33.0,10.0,40.0,30.0,0.0,1114.0,90.0
34.0,8.0,40.0,40.0,0.0,1112.0,90.0
35.0,8.0,45.0,20.0,0.0,1113.0,90.0
36.0,5.0,35.0,10.0,0.0,1107.0,90.0
37.0,5.0,45.0,10.0,0.0,1110.0,90.0
38.0,2.0,40.0,20.0,0.0,1106.0,90.0
39.0,0.0,40.0,30.0,479.0,522.0,90.0
40.0,0.0,45.0,20.0,0.0,1105.0,90.0
41.0,35.0,30.0,10.0,0.0,1125.0,90.0
42.0,35.0,32.0,10.0,0.0,1127.0,90.0
43.0,33.0,32.0,20.0,0.0,1126.0,90.0
44.0,33.0,35.0,10.0,0.0,1129.0,90.0
45.0,32.0,30.0,10.0,359.0,412.0,90.0
46.0,30.0,30.0,10.0,0.0,1123.0,90.0
47.0,30.0,32.0,30.0,0.0,1125.0,90.0
48.0,30.0,35.0,10.0,0.0,1127.0,90.0
49.0,28.0,30.0,10.0,0.0,1122.0,90.0
50.0,28.0,35.0,10.0,0.0,1126.0,90.0
51.0,26.0,32.0,10.0,0.0,1123.0,90.0
52.0,25.0,30.0,10.0,0.0,1121.0,90.0
53.0,25.0,35.0,10.0,0.0,1124.0,90.0
54.0,44.0,5.0,20.0,286.0,347.0,90.0
55.0,42.0,10.0,40.0,0.0,1105.0,90.0
56.0,42.0,15.0,10.0,95.0,158.0,90.0
57.0,40.0,5.0,30.0,0.0,1101.0,90.0
58.0,40.0,15.0,40.0,0.0,1111.0,90.0
59.0,38.0,5.0,30.0,471.0,534.0,90.0
60.0,38.0,15.0,10.0,0.0,1110.0,90.0
61.0,35.0,5.0,20.0,0.0,1100.0,90.0
62.0,50.0,30.0,10.0,0.0,1123.0,90.0
63.0,50.0,35.0,20.0,262.0,317.0,90.0
64.0,50.0,40.0,50.0,0.0,1131.0,90.0
65.0,48.0,30.0,10.0,0.0,1124.0,90.0
66.0,48.0,40.0,10.0,0.0,1133.0,90.0
67.0,47.0,35.0,10.0,0.0,1129.0,90.0
68.0,47.0,40.0,10.0,12.0,77.0,90.0
69.0,45.0,30.0,10.0,0.0,1125.0,90.0
70.0,45.0,35.0,10.0,916.0,969.0,90.0
