Customer,xPos,yPos,Demand,Ready Time,Due Date,Service Time
1.0,35.0,35.0,0.0,0.0,1000.0,0.0
2.0,41.0,49.0,10.0,0.0,974.0,10.0
3.0,35.0,17.0,7.0,0.0,972.0,10.0
4.0,55.0,45.0,13.0,0.0,967.0,10.0
5.0,55.0,20.0,19.0,620.0,860.0,10.0
6.0,15.0,30.0,26.0,0.0,969.0,10.0
7.0,25.0,30.0,3.0,0.0,978.0,10.0
8.0,20.0,50.0,5.0,0.0,968.0,10.0
9.0,10.0,43.0,9.0,323.0,563.0,10.0
10.0,55.0,60.0,16.0,329.0,569.0,10.0
11.0,30.0,60.0,16.0,0.0,964.0,10.0
12.0,20.0,65.0,12.0,146.0,386.0,10.0
13.0,50.0,35.0,19.0,0.0,975.0,10.0
14.0,30.0,25.0,23.0,639.0,879.0,10.0
15.0,15.0,10.0,20.0,0.0,957.0,10.0
16.0,30.0,5.0,8.0,118.0,358.0,10.0
17.0,10.0,20.0,19.0,0.0,960.0,10.0
18.0,5.0,30.0,2.0,0.0,959.0,10.0
19.0,20.0,40.0,12.0,0.0,974.0,10.0
20.0,15.0,60.0,17.0,0.0,957.0,10.0
21.0,45.0,65.0,9.0,0.0,958.0,10.0
22.0,45.0,20.0,11.0,0.0,971.0,10.0
23.0,45.0,10.0,18.0,0.0,963.0,10.0
24.0,55.0,5.0,29.0,146.0,386.0,10.0
25.0,65.0,35.0,3.0,0.0,960.0,10.0
26.0,65.0,20.0,6.0,716.0,956.0,10.0
27.0,45.0,30.0,17.0,0.0,978.0,10.0
28.0,35.0,40.0,16.0,0.0,985.0,10.0
29.0,41.0,37.0,16.0,0.0,983.0,10.0
30.0,64.0,42.0,9.0,0.0,960.0,10.0
31.0,40.0,60.0,21.0,0.0,964.0,10.0
32.0,31.0,52.0,27.0,0.0,972.0,10.0
33.0,35.0,69.0,23.0,0.0,956.0,10.0
34.0,53.0,52.0,11.0,0.0,965.0,10.0
35.0,65.0,55.0,14.0,0.0,953.0,10.0
36.0,63.0,65.0,8.0,0.0,948.0,10.0
37.0,2.0,60.0,5.0,0.0,948.0,10.0
38.0,20.0,20.0,8.0,0.0,968.0,10.0
39.0,5.0,5.0,16.0,234.0,474.0,10.0
40.0,60.0,12.0,31.0,0.0,956.0,10.0
41.0,40.0,25.0,9.0,0.0,978.0,10.0
42.0,42.0,7.0,5.0,0.0,961.0,10.0
43.0,24.0,12.0,5.0,0.0,964.0,10.0
44.0,23.0,3.0,7.0,0.0,955.0,10.0
45.0,11.0,14.0,18.0,167.0,407.0,10.0
46.0,6.0,38.0,16.0,0.0,960.0,10.0
47.0,2.0,48.0,1.0,0.0,954.0,10.0
48.0,8.0,56.0,27.0,0.0,955.0,10.0
49.0,13.0,52.0,36.0,0.0,962.0,10.0
50.0,6.0,68.0,30.0,0.0,946.0,10.0
51.0,47.0,47.0,13.0,0.0,973.0,10.0
52.0,49.0,58.0,10.0,0.0,963.0,10.0
53.0,27.0,43.0,9.0,0.0,978.0,10.0
54.0,37.0,31.0,14.0,332.0,572.0,10.0
55.0,57.0,29.0,18.0,0.0,967.0,10.0
56.0,63.0,23.0,2.0,560.0,800.0,10.0
57.0,53.0,12.0,6.0,0.0,960.0,10.0
58.0,32.0,12.0,7.0,0.0,966.0,10.0
59.0,36.0,26.0,18.0,740.0,980.0,10.0
60.0,21.0,24.0,28.0,0.0,972.0,10.0
61.0,17.0,34.0,3.0,0.0,971.0,10.0
62.0,12.0,24.0,13.0,0.0,964.0,10.0
63.0,24.0,58.0,19.0,113.0,353.0,10.0
64.0,27.0,69.0,10.0,0.0,955.0,10.0
65.0,15.0,77.0,9.0,0.0,943.0,10.0
66.0,62.0,77.0,20.0,0.0,940.0,10.0
67.0,49.0,73.0,25.0,0.0,949.0,10.0
68.0,67.0,5.0,25.0,228.0,468.0,10.0
69.0,56.0,39.0,36.0,0.0,968.0,10.0
70.0,37.0,47.0,6.0,108.0,348.0,10.0
71.0,37.0,56.0,5.0,0.0,968.0,10.0
72.0,57.0,68.0,15.0,0.0,950.0,10.0
73.0,47.0,16.0,25.0,0.0,967.0,10.0
74.0,44.0,17.0,9.0,0.0,969.0,10.0
75.0,46.0,13.0,8.0,622.0,862.0,10.0
76.0,49.0,11.0,18.0,0.0,962.0,10.0
77.0,49.0,42.0,13.0,212.0,452.0,10.0
78.0,53.0,43.0,14.0,730.0,970.0,10.0
79.0,61.0,52.0,3.0,0.0,958.0,10.0
80.0,57.0,48.0,23.0,307.0,547.0,10.0
81.0,56.0,37.0,6.0,0.0,968.0,10.0
82.0,55.0,54.0,26.0,0.0,962.0,10.0
83.0,15.0,47.0,16.0,0.0,966.0,10.0
84.0,14.0,37.0,11.0,0.0,968.0,10.0
85.0,11.0,31.0,7.0,354.0,594.0,10.0
86.0,16.0,22.0,41.0,0.0,966.0,10.0
87.0,4.0,18.0,35.0,0.0,954.0,10.0
88.0,28.0,18.0,26.0,314.0,554.0,10.0
89.0,26.0,52.0,9.0,0.0,970.0,10.0
90.0,26.0,35.0,15.0,0.0,981.0,10.0
91.0,31.0,67.0,3.0,0.0,957.0,10.0
92.0,15.0,19.0,1.0,0.0,964.0,10.0
93.0,22.0,22.0,2.0,18.0,258.0,10.0
94.0,18.0,24.0,22.0,0.0,969.0,10.0
95.0,26.0,27.0,27.0,0.0,977.0,10.0
96.0,25.0,24.0,20.0,0.0,975.0,10.0
97.0,22.0,27.0,11.0,0.0,974.0,10.0
98.0,25.0,21.0,12.0,0.0,972.0,10.0
99.0,19.0,21.0,10.0,0.0,968.0,10.0
100.0,20.0,26.0,9.0,263.0,503.0,10.0
101.0,18.0,18.0,17.0,725.0,965.0,10.0
